programa , Latencia  , Over -O0  , Over -O0 op , Over -O1  , Over -O1 op , Over -O2  , Over -O2 op , Over -O3 op , Over -OX  , Over -OX op , problematic	
IMG_quantize_c , 2812 , 2.1575391180654337 , 3.021414342629482 , 0.7140825035561877 , 1 , 0.7140825035561877 , 1 , 0.7624466571834992 , 1.0677290836653386 , 0.7140825035561877 , 1 ,98	
IMG_yc_demux_le16_c , 636 , 2.0220125786163523 , 2.2249134948096887 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 ,96	
IMG_erode_bin_c , 4387 , 3.2163209482562114 , 3.370759675107501 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 , 0.9541828128561659 , 1 ,96	
DSP_q15tofl_c , 1020 , 1.2352941176470589 , 1.863905325443787 , 0.6627450980392157 , 1 , 0.6627450980392157 , 1 , 0.6627450980392157 , 1 , 0.6627450980392157 , 1 ,95	
DSP_minval_c , 1158 , 1.6830742659758204 , 1.6830742659758204 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 ,95	
DSP_minerror_c , 51439 , 2.1012850172048445 , 4.182324717535985 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 , 0.5024203425416512 , 1 ,97	
IMG_idct_8x8_12q4_c , 1.7976931348623157e+308 , 3.470336443420757e-304 , 2.5707104005274437 , 1.3499523099563193e-304 , 1 , 1.35868572485096e-304 , 1.0064694247568815 , 1.35868572485096e-304 , 1.0064694247568815 , 1.3499523099563193e-304 , 1 ,100	
IMG_wave_horz_c , 123858 , 1.4232508194868316 , 1.7651753349488315 , 0.8062943047683637 , 1 , 0.8062943047683637 , 1 , 0.8062943047683637 , 1 , 0.8062943047683637 , 1 ,96	
IMG_sad_8x8_c , 3371 , 1 , 3.8394077448747153 , 0.2604568377336102 , 1 , 0.2604568377336102 , 1 , 0.2604568377336102 , 1 , 0.2604568377336102 , 1 ,97	
DSP_mul32_c , 12124 , 2.1938304190036293 , 2.5170814800794927 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 , 0.8715770372814253 , 1 ,97	
IMG_corr_gen_c , 287260 , 1 , 2.242291780501132 , 0.47317412796769476 , 1.0609944578877528 , 0.45340806238251063 , 1.016673171493248 , 0.44597228991157833 , 1 , 0.44597228991157833 , 1 ,96	
DSP_w_vec_c , 6196 , 1.6741446094254357 , 1.675767366720517 , 0.9990316333118141 , 1 , 0.9990316333118141 , 1 , 0.9990316333118141 , 1 , 0.9990316333118141 , 1 ,98	
DSP_blk_eswap16_c , 4276 , 2.572029934518241 , 3.001637554585153 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 , 0.8568755846585594 , 1 ,96	
DSP_vecsumsq_c , 8306 , 1.0927040693474597 , 2.3343621399176953 , 0.4680953527570431 , 1 , 0.4680953527570431 , 1 , 0.4680953527570431 , 1 , 0.4680953527570431 , 1 ,95	
DSP_mat_trans_c , 15171 , 3.028870872058533 , 3.2469615602035047 , 0.9328323775624546 , 1 , 0.9328323775624546 , 1 , 0.9334256146595479 , 1.0006359525155455 , 0.9328323775624546 , 1 ,98	
IMG_dilate_bin_c , 5833 , 2.4189953711640664 , 2.5956585724797647 , 0.9319389679410252 , 1 , 0.9319389679410252 , 1 , 0.9319389679410252 , 1 , 0.9319389679410252 , 1 ,95	
IMG_fdct_8x8_c , 19919 , 2.6402931874090063 , 2.6402931874090063 , 1.0111451378081229 , 1.0111451378081229 , 1.0119483909834832 , 1.0119483909834832 , 1.0119483909834832 , 1.0119483909834832 , 1.0111451378081229 , 1.0111451378081229 ,96	
IMG_pix_expand_c , 14375 , 1.7875478260869566 , 2.085206524385296 , 0.8572521739130434 , 1 , 0.8572521739130434 , 1 , 0.8572521739130434 , 1 , 0.8572521739130434 , 1 ,96	
DSP_dotprod_c , 1656 , 1 , 2.0024183796856105 , 0.4993961352657005 , 1 , 0.4993961352657005 , 1 , 0.4993961352657005 , 1 , 0.4993961352657005 , 1 ,95	
DSP_maxidx_c , 1168 , 1.7183219178082192 , 1.7183219178082192 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 , 1.4263698630136987 ,96	
DSP_blk_eswap32_c , 3076 , 3.2067620286085825 , 3.2067620286085825 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 , 1.0006501950585176 ,96	
DSP_firlms2_c , 1525 , 1.0478688524590163 , 1.9229843561973525 , 0.5449180327868852 , 1 , 0.5508196721311476 , 1.0108303249097472 , 0.5508196721311476 , 1.0108303249097472 , 0.5449180327868852 , 1 ,99	
DSP_blk_move_c , 1643 , 1.0919050517346318 , 1.977949283351709 , 0.55203895313451 , 1 , 0.55203895313451 , 1 , 0.55203895313451 , 1 , 0.55203895313451 , 1 ,97	
DSP_dotp_sqr_c , 3457 , 1.680937228811108 , 1.9996558843771508 , 0.910037604859705 , 1.0825877494838265 , 0.8406132484813422 , 1 , 0.8406132484813422 , 1 , 0.8406132484813422 , 1 ,97	
DSP_mat_mul_c , 63803 , 2.594909330282275 , 3.109981967089939 , 0.8343808284876887 , 1 , 0.8343808284876887 , 1 , 0.9223234017209222 , 1.1053986024494702 , 0.8343808284876887 , 1 ,96	
IMG_ycbcr422p_rgb565_c , 4536 , 2.390652557319224 , 2.390652557319224 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 , 1.1044973544973544 ,95	
DSP_blk_eswap64_c , 3068 , 3.0596479791395046 , 3.3525 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 , 0.9126466753585397 , 1 ,95	
IMG_pix_sat_c , 37728 , 1.0272211620016964 , 1.7156580636593033 , 0.598733036471586 , 1 , 0.598733036471586 , 1 , 0.598733036471586 , 1 , 0.598733036471586 , 1 ,97	
IMG_yc_demux_be16_c , 636 , 2.0220125786163523 , 2.2249134948096887 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 , 0.9088050314465409 , 1 ,95	
IMG_mad_8x8_c , 24643 , 2.3271111471817556 , 5.65998815633636 , 0.4121657265754981 , 1.00246742992499 , 0.4121657265754981 , 1.00246742992499 , 0.41115123970295825 , 1 , 0.41115123970295825 , 1 ,97	
