programa , Latencia  , Over -O0  , Over -O0 op , Over -O1  , Over -O1 op , Over -O2  , Over -O2 op , Over -O3 op , Over -OX  , Over -OX op , problematic	
IMG_quantize_c , 2812 , 2.1575391180654337 , 3.021414342629482 , 0.7140825035561877 , 1 , 0.7140825035561877 , 1 , 0.7624466571834992 , 1.0677290836653386 , 0.7140825035561877 , 1 ,96	
IMG_yc_demux_le16_c ,23	
IMG_erode_bin_c ,0	
DSP_q15tofl_c , 1260 , 1 , 1.863905325443787 , 0.5365079365079365 , 1 , 0.5365079365079365 , 1 , 0.5365079365079365 , 1 , 0.5365079365079365 , 1 ,97	
DSP_minval_c , 1158 , 1.6830742659758204 , 1.6830742659758204 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 , 1.109671848013817 ,96	
DSP_minerror_c , 1.7976931348623157e+308 , 6.01259458045816e-304 , 4.182324717535985 , 1.437620219981503e-304 , 1 , 1.437620219981503e-304 , 1 , 1.437620219981503e-304 , 1 , 1.437620219981503e-304 , 1 ,100	
IMG_idct_8x8_12q4_c , 24370 , 2.559950759130078 , 2.5707104005274437 , 0.995814526056627 , 1 , 1.0022568732047599 , 1.0064694247568815 , 1.0022568732047599 , 1.0064694247568815 , 0.995814526056627 , 1 ,96	
IMG_wave_horz_c , 128007 , 1.3771200012499316 , 1.7651753349488315 , 0.7801604599748452 , 1 , 0.7801604599748452 , 1 , 0.7801604599748452 , 1 , 0.7801604599748452 , 1 ,93	
IMG_sad_8x8_c , 1062 , 3.1741996233521657 , 3.8394077448747153 , 0.8267419962335216 , 1 , 0.8267419962335216 , 1 , 0.8267419962335216 , 1 , 0.8267419962335216 , 1 ,98	
DSP_mul32_c , 19093 , 1.3930759964384853 , 2.5170814800794927 , 0.5534489079767454 , 1 , 0.5534489079767454 , 1 , 0.5534489079767454 , 1 , 0.5534489079767454 , 1 ,98	
